source_dataset,source_row_id,source_name,raw_smiles,canonical_smiles,inchikey,is_first_occurrence_of_structure
lnp_atlas,239,1-A3-6b,NNCC1=CC(=C(OC(=O)CC(CC)CCC)C(=C1)OC(=O)CC(CC)CCC)OC(=O)CC(CC)CCC,CCCC(CC)CC(=O)Oc1cc(CNN)cc(OC(=O)CC(CC)CCC)c1OC(=O)CC(CC)CCC,WQNPSBGNQRXVMD-UHFFFAOYSA-N,True
lnp_atlas,240,2-A3-6b,NCCCCNCC1=CC(=C(OC(=O)CC(CC)CCC)C(=C1)OC(=O)CC(CC)CCC)OC(=O)CC(CC)CCC,CCCC(CC)CC(=O)Oc1cc(CNCCCCN)cc(OC(=O)CC(CC)CCC)c1OC(=O)CC(CC)CCC,YOGYRQSQQDUDTR-UHFFFAOYSA-N,True
lnp_atlas,241,3-A3-6b,NC1CCN(CC1)CC2=CC(=C(OC(=O)CC(CC)CCC)C(=C2)OC(=O)CC(CC)CCC)OC(=O)CC(CC)CCC,CCCC(CC)CC(=O)Oc1cc(CN2CCC(N)CC2)cc(OC(=O)CC(CC)CCC)c1OC(=O)CC(CC)CCC,LKBPBSOGXUMVRB-UHFFFAOYSA-N,True
lnp_atlas,242,4-A3-6b,NCCN1CCN(CC1)CC2=CC(=C(OC(=O)CC(CC)CCC)C(=C2)OC(=O)CC(CC)CCC)OC(=O)CC(CC)CCC,CCCC(CC)CC(=O)Oc1cc(CN2CCN(CCN)CC2)cc(OC(=O)CC(CC)CCC)c1OC(=O)CC(CC)CCC,HAWDBUZANMSWRA-UHFFFAOYSA-N,True
lnp_atlas,243,11-A3-6b,NCCCN(CC1=CC(=C(OC(=O)CC(CC)CCC)C(=C1)OC(=O)CC(CC)CCC)OC(=O)CC(CC)CCC)CCN,CCCC(CC)CC(=O)Oc1cc(CN(CCN)CCCN)cc(OC(=O)CC(CC)CCC)c1OC(=O)CC(CC)CCC,XSABLYJBBSMIQL-UHFFFAOYSA-N,True
lnp_atlas,244,12-A3-6b,NCCN(CC1=CC(=C(OC(=O)CC(CC)CCC)C(=C1)OC(=O)CC(CC)CCC)OC(=O)CC(CC)CCC)CCCN,CCCC(CC)CC(=O)Oc1cc(CN(CCN)CCCN)cc(OC(=O)CC(CC)CCC)c1OC(=O)CC(CC)CCC,XSABLYJBBSMIQL-UHFFFAOYSA-N,False
lnp_atlas,245,1-A3-7b,NNCC1=CC(=C(OC(=O)CC(CC)CCCC)C(=C1)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC,CCCCC(CC)CC(=O)Oc1cc(CNN)cc(OC(=O)CC(CC)CCCC)c1OC(=O)CC(CC)CCCC,NYESUSPCVZBEMA-UHFFFAOYSA-N,True
lnp_atlas,246,2-A3-7b,NCCCCNCC1=CC(=C(OC(=O)CC(CC)CCCC)C(=C1)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC,CCCCC(CC)CC(=O)Oc1cc(CNCCCCN)cc(OC(=O)CC(CC)CCCC)c1OC(=O)CC(CC)CCCC,MLTOEWMUAUWTRO-UHFFFAOYSA-N,True
lnp_atlas,247,3-A3-7b,NC1CCN(CC1)CC2=CC(=C(OC(=O)CC(CC)CCCC)C(=C2)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC,CCCCC(CC)CC(=O)Oc1cc(CN2CCC(N)CC2)cc(OC(=O)CC(CC)CCCC)c1OC(=O)CC(CC)CCCC,HHQYWFRSLBECIJ-UHFFFAOYSA-N,True
lnp_atlas,248,4-A3-7b,NCCN1CCN(CC1)CC2=CC(=C(OC(=O)CC(CC)CCCC)C(=C2)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC,CCCCC(CC)CC(=O)Oc1cc(CN2CCN(CCN)CC2)cc(OC(=O)CC(CC)CCCC)c1OC(=O)CC(CC)CCCC,KIQXHBYOCVIJTO-UHFFFAOYSA-N,True
lnp_atlas,249,11-A3-7b,NCCCN(CC1=CC(=C(OC(=O)CC(CC)CCCC)C(=C1)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC)CCN,CCCCC(CC)CC(=O)Oc1cc(CN(CCN)CCCN)cc(OC(=O)CC(CC)CCCC)c1OC(=O)CC(CC)CCCC,NABMGRVFRHIORC-UHFFFAOYSA-N,True
lnp_atlas,250,12-A3-7b,NCCN(CC1=CC(=C(OC(=O)CC(CC)CCCC)C(=C1)OC(=O)CC(CC)CCCC)OC(=O)CC(CC)CCCC)CCCN,CCCCC(CC)CC(=O)Oc1cc(CN(CCN)CCCN)cc(OC(=O)CC(CC)CCCC)c1OC(=O)CC(CC)CCCC,NABMGRVFRHIORC-UHFFFAOYSA-N,False
